Grup,Sinyal,5G Ort.%,5G Kazanma%,5G Rel.%,5G Rel.Kazanma%,10G Ort.%,10G Kazanma%,10G Rel.%,10G Rel.Kazanma%,20G Ort.%,20G Kazanma%,20G Rel.%,20G Rel.Kazanma%,%5 Hedef,%5 Stop,%5 Ort.PnL
<70,5326,0.37,51.3,0.12,47.2,0.68,50.8,-0.04,45.3,1.13,51.1,-0.39,43.8,61.5,32.7,0.67
70-79,1032,0.05,51.6,-0.0,48.2,0.53,51.5,-0.02,44.5,1.22,51.0,0.0,43.8,59.4,36.4,0.58
80-89,413,-0.47,47.2,-0.39,46.2,-0.35,46.7,-0.51,41.2,0.62,47.0,-0.31,40.9,53.8,40.9,-0.11
90-99,80,1.14,53.8,0.6,48.8,0.41,48.8,-0.4,41.2,1.74,50.0,-0.13,45.0,55.0,42.5,-0.02
100+,6,-2.65,50.0,-2.79,33.3,-4.7,50.0,-2.29,33.3,0.68,50.0,3.88,66.7,50.0,50.0,-0.87
