Grup,Sinyal,5G Ort.%,5G Kazanma%,5G Rel.%,5G Rel.Kazanma%,10G Ort.%,10G Kazanma%,10G Rel.%,10G Rel.Kazanma%,20G Ort.%,20G Kazanma%,20G Rel.%,20G Rel.Kazanma%,%5 Hedef,%5 Stop,%5 Ort.PnL
<2%,731,0.46,50.8,0.25,49.0,1.36,54.2,0.41,49.1,2.31,57.3,0.04,46.0,65.4,30.5,1.09
2-5%,1026,0.35,51.3,0.22,48.9,0.37,49.3,-0.05,45.2,1.12,49.4,-0.37,44.3,59.5,36.1,0.48
5-10%,1571,0.25,49.8,-0.01,46.3,0.8,51.8,-0.03,44.5,1.21,51.9,-0.18,43.6,58.8,35.1,0.55
10-15%,1212,0.29,51.2,0.05,48.4,0.32,50.2,-0.39,44.3,0.75,49.0,-0.6,43.4,59.2,34.0,0.62
15%+,2317,0.2,52.1,0.02,46.1,0.44,49.6,-0.09,43.9,0.87,49.6,-0.36,42.7,61.7,33.1,0.52
