symbol,date,score,score_bucket,trend_score,trend_bucket,momentum_score,momentum_bucket,volume_score,volume_bucket,risk_score,risk_bucket,sr_score,sr_bucket,formation_score,formation_bucket,dist_ema9,dist_ema21,dist_ema50,dist_ema200,overextension_ema50,overextension_ema200,ema50_distance_bucket,ema200_distance_bucket,entry_price,stop_price,potential_pct,stop_distance_pct,rr_ratio,return_5d,benchmark_5d,relative_5d,return_10d,benchmark_10d,relative_10d,return_20d,benchmark_20d,relative_20d,target_3_outcome,target_3_pnl,target_5_outcome,target_5_pnl,target_8_outcome,target_8_pnl
AEFES,2024-08-06,60,<70,16,Orta,0,Düşük,15,Yüksek,5,Düşük,17,Yüksek,7,Orta,-8.777885121016746,-10.068357631084393,-3.792297904890482,28.675605315325825,3.792297904890482,28.675605315325825,2-5%,15%+,23.809999465942383,21.130797132032026,27.992444624204648,11.252425006319992,2.4876810650577563,8.672828980997568,-1.0344881670838333,9.707317148081401,4.199916095883964,-0.41898188220947086,4.618897978093434,-10.163797272467361,-0.3930390633775368,-9.770758209089825,TARGET,3.0,TARGET,5.0,TARGET,8.0
AEFES,2024-08-13,59,<70,19,Orta,20,Orta,5,Düşük,5,Düşük,10,Orta,0,Düşük,1.7582526205305533,-0.14205068395745596,4.407156435858424,37.5137630420296,4.407156435858424,37.5137630420296,2-5%,15%+,25.875,23.238981542141346,17.777779252056913,10.187510948246006,1.7450562107241447,-4.115944092976298,1.5400360907621278,-5.655980183738425,-11.420289560216638,-0.8351278385018858,-10.585161721714751,-19.0338134765625,-4.182731784207997,-14.851081692354503,STOP,-10.187510948246006,STOP,-10.187510948246006,STOP,-10.187510948246006
AEFES,2024-08-20,43,<70,19,Orta,0,Düşük,5,Düşük,5,Düşük,14,Yüksek,0,Düşük,-2.824089803197734,-3.8831214212493608,-0.5410903733573292,29.54503024438638,0.5410903733573292,29.54503024438638,<2%,15%+,24.809999465942383,22.357693141815542,14.570736996913725,9.884346541374232,1.4741224355017342,-7.617893713552516,-1.5749939733882574,-6.042899740164259,-13.784764812223022,0.8087047443360942,-14.593469556559116,-16.646510478309388,-1.3155218404902531,-15.330988637819134,STOP,-9.884346541374232,STOP,-9.884346541374232,STOP,-9.884346541374232
AEFES,2024-08-27,63,<70,16,Orta,10,Düşük,5,Düşük,5,Düşük,20,Yüksek,7,Orta,-4.2229899436195195,-7.697697163657819,-6.979147426041095,18.431015807654003,6.979147426041095,18.431015807654003,5-10%,15%+,22.920000076293945,20.556028225815105,19.65531913512558,10.314013274912186,1.9056906958744366,-6.675395643772186,2.333663251286885,-9.00905889505907,-8.59511041359923,-3.4589840655533526,-5.136126348045877,-16.055847700375836,1.371293014483595,-17.42714071485943,STOP,-10.314013274912186,STOP,-10.314013274912186,STOP,-10.314013274912186
AEFES,2024-09-04,33,<70,8,Düşük,0,Düşük,0,Düşük,5,Düşük,20,Yüksek,0,Düşük,-5.651558926193147,-10.145847174311307,-11.57030167598441,9.746985769433902,11.57030167598441,9.746985769433902,10-15%,5-10%,21.389999389648438,19.202503833457826,24.00654686959406,10.22672098461694,2.347433444767367,-2.057029636578293,-5.203884746989346,3.146855110411053,-3.3193039024407645,-1.6333206653810022,-1.6859832370597623,-11.360450558739918,-9.29775614103313,-2.0626944177067887,STOP,-10.22672098461694,STOP,-10.22672098461694,STOP,-10.22672098461694
AEFES,2024-09-11,30,<70,8,Düşük,0,Düşük,0,Düşük,5,Düşük,17,Yüksek,0,Düşük,-3.451720806205168,-8.21305271856351,-11.414169963169476,7.028618704984158,11.414169963169476,7.028618704984158,10-15%,5-10%,20.950000762939453,18.979812863530917,26.61097208861678,9.40423784085869,2.8296787617386507,-1.288784954324692,2.6625354479571475,-3.95132040228184,-8.162295606433965,3.886146413191892,-12.048442019625856,-5.250598288357235,-4.082556404920702,-1.1680418834365334,STOP,-9.40423784085869,STOP,-9.40423784085869,STOP,-9.40423784085869
AEFES,2024-09-18,40,<70,8,Düşük,7,Düşük,0,Düşük,5,Düşük,20,Yüksek,0,Düşük,-2.281324316231978,-6.434367844398958,-10.691656939678884,5.293401471482937,10.691656939678884,5.293401471482937,10-15%,5-10%,20.68000030517578,18.907835289000925,21.61508340130799,8.569463201271423,2.5223380850857766,-6.963251996167593,-0.84806540646934,-6.115186589698253,-8.317220480275543,-9.650539881785772,1.333319401510229,-12.379107486287934,-10.220935575810273,-2.1581719104776607,STOP,-8.569463201271423,STOP,-8.569463201271423,STOP,-8.569463201271423
AEFES,2024-09-25,45,<70,8,Düşük,0,Düşük,12,Orta,5,Düşük,20,Yüksek,0,Düşük,-6.102370375642568,-10.132100673030788,-15.025154892269038,-2.2101703546562637,15.025154892269038,2.2101703546562637,15%+,2-5%,19.239999771118164,17.618032304708308,21.25779730375846,8.430184437136264,2.5216289705495147,-1.4553050414575712,-8.304844630967935,6.849539589510364,3.170481380500096,-7.090102722267765,10.260584102767861,-0.9875287750410143,-11.338664162436125,10.35113538739511,TARGET,3.0,TARGET,5.0,STOP,-8.430184437136264
AEFES,2024-10-02,38,<70,8,Düşük,0,Düşük,0,Düşük,10,Orta,20,Yüksek,0,Düşük,-4.218294574812957,-8.388508926342775,-14.142694824780744,-3.6097815834374734,14.142694824780744,3.6097815834374734,10-15%,2-5%,18.959999084472656,17.460884861764857,14.556963935415723,7.9067209656961595,1.841087348165199,4.694099894371511,2.6308647168707417,2.063235177500769,-4.430370705698908,0.6495673666450938,-5.079938072344002,1.1076002213168352,-0.3854690154708911,1.4930692367877263,TARGET,3.0,TARGET,5.0,TIMEOUT,1.1076002213168352
AEFES,2024-10-09,52,<70,8,Düşük,17,Orta,5,Düşük,10,Orta,12,Orta,0,Düşük,1.9517371194298718,-1.4794439389888459,-7.95153446184072,1.0303932302493908,7.95153446184072,1.0303932302493908,5-10%,<2%,19.850000381469727,18.379985088694596,7.707802266468225,7.405618461082811,1.0408046683708345,-8.715362765691978,-0.09035608402353223,-8.625006681668445,-4.0302323880859605,-2.782202618561584,-1.2480297695243765,2.770776959651746,-0.20080098151938103,2.971577941171127,STOP,-7.405618461082811,STOP,-7.405618461082811,STOP,-7.405618461082811
