Setup,Sinyal,5G Ort.%,5G Rel.%,5G Rel.Kazanma%,10G Ort.%,10G Rel.%,10G Rel.Kazanma%,20G Ort.%,20G Rel.%,20G Rel.Kazanma%,%5 Hedef,%5 Stop,%5 Timeout,%5 Ort.PnL
BASELINE,6857,0.28,-0.17,44.8,0.59,-0.3,42.6,1.12,-0.56,42.3,59.6,35.9,4.5,0.55
A - Hacim yüksek,1709,0.64,-0.03,46.2,0.99,-0.02,43.5,1.5,-0.14,43.4,64.4,31.8,3.8,1.08
B - Hacim + Momentum,617,0.44,-0.09,47.8,0.65,-0.37,41.5,1.67,-0.24,44.4,64.8,31.6,3.6,1.28
C - Hacim + S/R,889,0.56,-0.25,46.1,1.04,-0.09,44.1,1.39,-0.37,43.4,63.8,30.9,5.3,0.89
D - Hacim + R/R >=2,322,0.69,-0.64,41.3,1.3,-0.37,40.1,0.58,-1.31,37.3,61.8,32.3,5.9,0.66
E - Hacim + R/R >=3,97,0.88,-0.93,39.2,0.51,-1.47,37.1,-0.72,-2.79,33.0,66.0,27.8,6.2,1.16
F - Hacim + Momentum + S/R,204,0.55,0.03,50.0,0.43,-0.29,44.1,1.34,-0.73,45.6,64.7,29.9,5.4,1.16
G - Hacim + Momentum + R/R >=2,7,-2.52,-1.95,28.6,-2.98,-1.23,57.1,-4.5,-2.59,28.6,28.6,71.4,0.0,-2.61
H - Hacim + S/R + R/R >=2,322,0.69,-0.64,41.3,1.3,-0.37,40.1,0.58,-1.31,37.3,61.8,32.3,5.9,0.66
I - Hacim + R/R >=2 + EMA50 <15%,322,0.69,-0.64,41.3,1.3,-0.37,40.1,0.58,-1.31,37.3,61.8,32.3,5.9,0.66
J - Hacim + Momentum + R/R >=2 + EMA50 <15%,7,-2.52,-1.95,28.6,-2.98,-1.23,57.1,-4.5,-2.59,28.6,28.6,71.4,0.0,-2.61
K - Hacim + S/R + R/R >=2 + EMA50 <15%,322,0.69,-0.64,41.3,1.3,-0.37,40.1,0.58,-1.31,37.3,61.8,32.3,5.9,0.66
L - Hacim + Momentum + S/R + R/R >=2,7,-2.52,-1.95,28.6,-2.98,-1.23,57.1,-4.5,-2.59,28.6,28.6,71.4,0.0,-2.61
M - Hacim + EMA50 <5%,759,0.64,-0.01,47.2,0.81,-0.16,42.3,1.27,-0.55,41.9,63.2,32.7,4.1,1.19
N - Hacim + EMA50 <10%,1266,0.54,-0.04,46.9,0.94,-0.12,42.7,1.59,-0.23,43.9,63.5,32.8,3.7,1.11
O - Hacim + EMA50 <15%,1535,0.65,-0.06,46.3,1.0,-0.1,43.2,1.62,-0.12,43.5,63.5,32.6,3.8,1.05
P - Hacim + EMA50 <5% + Momentum,436,0.4,-0.21,46.6,0.54,-0.47,40.8,1.37,-0.73,42.7,63.8,32.3,3.9,1.33
Q - Hacim + EMA50 <5% + S/R,413,0.56,0.01,47.2,0.83,0.07,44.8,1.13,-0.44,42.6,61.5,33.2,5.3,0.92
R - Hacim + EMA50 <5% + R/R >=2,71,-0.6,-1.25,32.4,0.82,-0.25,42.3,-0.44,-1.91,38.0,53.5,42.3,4.2,0.11
