symbol,date,score,score_bucket,trend_score,trend_bucket,momentum_score,momentum_bucket,volume_score,volume_bucket,risk_score,risk_bucket,sr_score,sr_bucket,formation_score,formation_bucket,entry_price,stop_price,potential_pct,stop_distance_pct,rr_ratio,return_5d,return_10d,return_20d,target_3_outcome,target_3_pnl,target_5_outcome,target_5_pnl,target_8_outcome,target_8_pnl
AEFES,2024-08-06,60,<70,16,Orta,0,Düşük,15,Yüksek,5,Düşük,17,Yüksek,7,Orta,23.809999465942383,21.130797132032026,27.992444624204648,11.252425006319992,2.4876810650577563,8.672828980997568,4.199916095883964,-10.163797272467361,TARGET,3.0,TARGET,5.0,TARGET,8.0
AEFES,2024-08-13,59,<70,19,Orta,20,Orta,5,Düşük,5,Düşük,10,Orta,0,Düşük,25.875,23.238981542141346,17.777779252056913,10.187510948246006,1.7450562107241447,-4.115944092976298,-11.420289560216638,-19.0338134765625,STOP,-10.187510948246006,STOP,-10.187510948246006,STOP,-10.187510948246006
AEFES,2024-08-20,43,<70,19,Orta,0,Düşük,5,Düşük,5,Düşük,14,Yüksek,0,Düşük,24.809999465942383,22.357693141815542,14.570736996913725,9.884346541374232,1.4741224355017342,-7.617893713552516,-13.784764812223022,-16.646510478309388,STOP,-9.884346541374232,STOP,-9.884346541374232,STOP,-9.884346541374232
AEFES,2024-08-27,63,<70,16,Orta,10,Düşük,5,Düşük,5,Düşük,20,Yüksek,7,Orta,22.920000076293945,20.556028225815105,19.65531913512558,10.314013274912186,1.9056906958744366,-6.675395643772186,-8.59511041359923,-16.055847700375836,STOP,-10.314013274912186,STOP,-10.314013274912186,STOP,-10.314013274912186
AEFES,2024-09-04,33,<70,8,Düşük,0,Düşük,0,Düşük,5,Düşük,20,Yüksek,0,Düşük,21.389999389648438,19.202503833457826,24.00654686959406,10.22672098461694,2.347433444767367,-2.057029636578293,-3.3193039024407645,-11.360450558739918,STOP,-10.22672098461694,STOP,-10.22672098461694,STOP,-10.22672098461694
AEFES,2024-09-11,30,<70,8,Düşük,0,Düşük,0,Düşük,5,Düşük,17,Yüksek,0,Düşük,20.950000762939453,18.979812863530917,26.61097208861678,9.40423784085869,2.8296787617386507,-1.288784954324692,-8.162295606433965,-5.250598288357235,STOP,-9.40423784085869,STOP,-9.40423784085869,STOP,-9.40423784085869
AEFES,2024-09-18,40,<70,8,Düşük,7,Düşük,0,Düşük,5,Düşük,20,Yüksek,0,Düşük,20.68000030517578,18.907835289000925,21.61508340130799,8.569463201271423,2.5223380850857766,-6.963251996167593,-8.317220480275543,-12.379107486287934,STOP,-8.569463201271423,STOP,-8.569463201271423,STOP,-8.569463201271423
AEFES,2024-09-25,45,<70,8,Düşük,0,Düşük,12,Orta,5,Düşük,20,Yüksek,0,Düşük,19.239999771118164,17.618032304708308,21.25779730375846,8.430184437136264,2.5216289705495147,-1.4553050414575712,3.170481380500096,-0.9875287750410143,TARGET,3.0,TARGET,5.0,STOP,-8.430184437136264
AEFES,2024-10-02,38,<70,8,Düşük,0,Düşük,0,Düşük,10,Orta,20,Yüksek,0,Düşük,18.959999084472656,17.460884861764857,14.556963935415723,7.9067209656961595,1.841087348165199,4.694099894371511,-4.430370705698908,1.1076002213168352,TARGET,3.0,TARGET,5.0,TIMEOUT,1.1076002213168352
AEFES,2024-10-09,52,<70,8,Düşük,17,Orta,5,Düşük,10,Orta,12,Orta,0,Düşük,19.850000381469727,18.379985088694596,7.707802266468225,7.405618461082811,1.0408046683708345,-8.715362765691978,-4.0302323880859605,2.770776959651746,STOP,-7.405618461082811,STOP,-7.405618461082811,STOP,-7.405618461082811
AEFES,2024-10-16,64,<70,8,Düşük,17,Orta,14,Yüksek,5,Düşük,20,Yüksek,0,Düşük,18.1200008392334,16.654434333764417,16.99779128617502,8.088114997741826,2.1015763612313556,5.132441251401696,5.794697507889128,20.03310702341102,TARGET,3.0,TARGET,5.0,TARGET,8.0
AEFES,2024-10-23,64,<70,8,Düşük,24,Yüksek,15,Yüksek,5,Düşük,12,Orta,0,Düşük,19.049999237060547,17.51036935610168,6.666669336621116,8.082046942887093,0.8248738696684219,0.6299256904952759,7.086616459508238,2.6771666630288538,TARGET,3.0,STOP,-8.082046942887093,STOP,-8.082046942887093
AEFES,2024-10-31,57,<70,11,Orta,24,Yüksek,0,Düşük,10,Orta,12,Orta,0,Düşük,19.170000076293945,17.774269943013813,5.998954689376287,7.280804004826915,0.8239412412968667,6.416273016907148,13.458528499937467,6.99008944838224,STOP,-7.280804004826915,STOP,-7.280804004826915,STOP,-7.280804004826915
AEFES,2024-11-07,74,70-79,22,Yüksek,17,Orta,20,Yüksek,5,Düşük,0,Düşük,10,Orta,20.399999618530273,18.721664671883183,1.0784373765541035,8.227132245250539,0.13108302436449557,6.617649052519874,-4.117647883801327,4.411762918430457,TARGET,3.0,TARGET,5.0,TARGET,8.0
